Step 203/2000, Loss: 0.14765910804271698
Step 204/2000, Loss: 0.1448327898979187
Step 205/2000, Loss: 0.15089482069015503
Step 206/2000, Loss: 0.14384032785892487
Step 207/2000, Loss: 0.15093979239463806
Step 208/2000, Loss: 0.1522442102432251
Step 209/2000, Loss: 0.13634610176086426
Step 210/2000, Loss: 0.14649997651576996
Step 211/2000, Loss: 0.15070514380931854
Step 212/2000, Loss: 0.14163871109485626
Step 213/2000, Loss: 0.1475905179977417
Step 214/2000, Loss: 0.14605645835399628
Step 215/2000, Loss: 0.14369577169418335
Step 216/2000, Loss: 0.1588498204946518
Step 217/2000, Loss: 0.1415708214044571
Step 218/2000, Loss: 0.1508834809064865
Step 219/2000, Loss: 0.14955565333366394
Step 220/2000, Loss: 0.15107901394367218
Step 221/2000, Loss: 0.15211090445518494
Step 222/2000, Loss: 0.1438407003879547
Step 223/2000, Loss: 0.13974250853061676
Step 224/2000, Loss: 0.1409500241279602
Step 225/2000, Loss: 0.14117087423801422
Step 226/2000, Loss: 0.1481359601020813
Step 227/2000, Loss: 0.15240739285945892
Step 228/2000, Loss: 0.14701910316944122
Step 229/2000, Loss: 0.14627543091773987
Step 230/2000, Loss: 0.1480063647031784
Step 231/2000, Loss: 0.1443028748035431
Step 232/2000, Loss: 0.13749827444553375
Step 233/2000, Loss: 0.1411304473876953
Step 234/2000, Loss: 0.1362367421388626
Step 235/2000, Loss: 0.13473525643348694
Step 236/2000, Loss: 0.14191611111164093
Step 237/2000, Loss: 0.1333504021167755
Step 238/2000, Loss: 0.1382112056016922
Step 239/2000, Loss: 0.14251965284347534
Step 240/2000, Loss: 0.14347071945667267
Step 241/2000, Loss: 0.13731920719146729
Step 242/2000, Loss: 0.1350247710943222
Step 243/2000, Loss: 0.14168405532836914
Step 244/2000, Loss: 0.14603117108345032
Step 245/2000, Loss: 0.14302222430706024
Step 246/2000, Loss: 0.1432207077741623
Step 247/2000, Loss: 0.14049051702022552
Step 248/2000, Loss: 0.14059755206108093
Step 249/2000, Loss: 0.13133291900157928
Step 250/2000, Loss: 0.14053583145141602
Step 251/2000, Loss: 0.1408909261226654
Step 252/2000, Loss: 0.14254356920719147
Step 253/2000, Loss: 0.13650260865688324
Step 254/2000, Loss: 0.13891659677028656
Step 255/2000, Loss: 0.12532290816307068
Step 256/2000, Loss: 0.1169380322098732
Step 257/2000, Loss: 0.1412314623594284
Step 258/2000, Loss: 0.13935869932174683
Step 259/2000, Loss: 0.13890931010246277
Step 260/2000, Loss: 0.13315030932426453
Step 261/2000, Loss: 0.1307070553302765
Step 262/2000, Loss: 0.14058765769004822
Step 263/2000, Loss: 0.1324983835220337
Step 264/2000, Loss: 0.1395799070596695
Step 265/2000, Loss: 0.1352304071187973
Step 266/2000, Loss: 0.13446809351444244
Step 267/2000, Loss: 0.12684845924377441
Step 268/2000, Loss: 0.1396266520023346
Step 269/2000, Loss: 0.12943118810653687
Step 270/2000, Loss: 0.14135593175888062
Step 271/2000, Loss: 0.13402517139911652
Step 272/2000, Loss: 0.13018065690994263
Step 273/2000, Loss: 0.1305638551712036
Step 274/2000, Loss: 0.13203418254852295
Step 275/2000, Loss: 0.12929998338222504
Step 276/2000, Loss: 0.1289474368095398
Step 277/2000, Loss: 0.13880500197410583
Step 278/2000, Loss: 0.13362206518650055
Step 279/2000, Loss: 0.1342746764421463
Step 280/2000, Loss: 0.12841664254665375
Step 281/2000, Loss: 0.127999946475029
Step 282/2000, Loss: 0.1354708969593048
Step 283/2000, Loss: 0.1297198235988617
Step 284/2000, Loss: 0.13981887698173523
Step 285/2000, Loss: 0.12637993693351746
Step 286/2000, Loss: 0.13316859304904938
Step 287/2000, Loss: 0.13338707387447357
Step 288/2000, Loss: 0.139654740691185
Step 289/2000, Loss: 0.12821240723133087
Step 290/2000, Loss: 0.12594111263751984
Step 291/2000, Loss: 0.14305128157138824
Step 292/2000, Loss: 0.130325585603714
Step 293/2000, Loss: 0.1260184794664383
Step 294/2000, Loss: 0.13298651576042175
Step 295/2000, Loss: 0.12735523283481598
Step 296/2000, Loss: 0.13240431249141693
Step 297/2000, Loss: 0.12938633561134338
Step 298/2000, Loss: 0.13200387358665466
Step 299/2000, Loss: 0.1291823387145996
Step 300/2000, Loss: 0.13773484528064728
Step 301/2000, Loss: 0.12927955389022827
Step 302/2000, Loss: 0.12544088065624237
Step 303/2000, Loss: 0.12991885840892792
Step 304/2000, Loss: 0.11816612631082535
Step 305/2000, Loss: 0.13653331995010376
Step 306/2000, Loss: 0.1237918809056282
Step 307/2000, Loss: 0.1332828402519226
Step 308/2000, Loss: 0.12670178711414337
Step 309/2000, Loss: 0.12901033461093903
Step 310/2000, Loss: 0.13863885402679443
Step 311/2000, Loss: 0.11399348825216293
Step 312/2000, Loss: 0.12923233211040497
Step 313/2000, Loss: 0.12660622596740723
Step 314/2000, Loss: 0.13373522460460663
Step 315/2000, Loss: 0.12895260751247406
Step 316/2000, Loss: 0.13297030329704285
Step 317/2000, Loss: 0.12886986136436462
Step 318/2000, Loss: 0.12391509115695953
Step 319/2000, Loss: 0.1281886100769043
Step 320/2000, Loss: 0.12859511375427246
Step 321/2000, Loss: 0.129586324095726
Step 322/2000, Loss: 0.13126643002033234
Step 323/2000, Loss: 0.12881577014923096
Step 324/2000, Loss: 0.12482945621013641
Step 325/2000, Loss: 0.12637723982334137
Step 326/2000, Loss: 0.1317286193370819
Step 327/2000, Loss: 0.11727235466241837
Step 328/2000, Loss: 0.1191115602850914
Step 329/2000, Loss: 0.12962967157363892
Step 330/2000, Loss: 0.12493298202753067
Step 331/2000, Loss: 0.12713953852653503
Step 332/2000, Loss: 0.12484613806009293
Step 333/2000, Loss: 0.12479053437709808
Step 334/2000, Loss: 0.11665301769971848
Step 335/2000, Loss: 0.12821072340011597
Step 336/2000, Loss: 0.1334560215473175
Step 337/2000, Loss: 0.1267627775669098
Step 338/2000, Loss: 0.12516769766807556
Step 339/2000, Loss: 0.1334346979856491
Step 340/2000, Loss: 0.12801967561244965
Step 341/2000, Loss: 0.12770485877990723
Step 342/2000, Loss: 0.12405029684305191
Step 343/2000, Loss: 0.12449578195810318
Step 344/2000, Loss: 0.12645353376865387
Step 345/2000, Loss: 0.13030117750167847
Step 346/2000, Loss: 0.12150045484304428
Step 347/2000, Loss: 0.13466760516166687
Step 348/2000, Loss: 0.12628468871116638
Step 349/2000, Loss: 0.12925241887569427
Step 350/2000, Loss: 0.1329953372478485
Step 351/2000, Loss: 0.12256190925836563
Step 352/2000, Loss: 0.12653616070747375
