Step 206/2000, Loss: 0.1422976702451706
Step 207/2000, Loss: 0.14917536079883575
Step 208/2000, Loss: 0.15063825249671936
Step 209/2000, Loss: 0.13501913845539093
Step 210/2000, Loss: 0.14498157799243927
Step 211/2000, Loss: 0.14897067844867706
Step 212/2000, Loss: 0.14050042629241943
Step 213/2000, Loss: 0.14640112221240997
Step 214/2000, Loss: 0.14463002979755402
Step 215/2000, Loss: 0.14224687218666077
Step 216/2000, Loss: 0.15700599551200867
Step 217/2000, Loss: 0.13996750116348267
Step 218/2000, Loss: 0.14938227832317352
Step 219/2000, Loss: 0.14859864115715027
Step 220/2000, Loss: 0.1499350219964981
Step 221/2000, Loss: 0.15030169486999512
Step 222/2000, Loss: 0.14267703890800476
Step 223/2000, Loss: 0.13838791847229004
Step 224/2000, Loss: 0.1394987404346466
Step 225/2000, Loss: 0.1399206668138504
Step 226/2000, Loss: 0.14694468677043915
Step 227/2000, Loss: 0.15093690156936646
Step 228/2000, Loss: 0.1455850452184677
Step 229/2000, Loss: 0.14500504732131958
Step 230/2000, Loss: 0.14678651094436646
Step 231/2000, Loss: 0.14301754534244537
Step 232/2000, Loss: 0.13607048988342285
Step 233/2000, Loss: 0.14016523957252502
Step 234/2000, Loss: 0.13501137495040894
Step 235/2000, Loss: 0.13353893160820007
Step 236/2000, Loss: 0.14061033725738525
Step 237/2000, Loss: 0.13191962242126465
Step 238/2000, Loss: 0.1370842307806015
Step 239/2000, Loss: 0.14143772423267365
Step 240/2000, Loss: 0.14219607412815094
Step 241/2000, Loss: 0.1359231173992157
Step 242/2000, Loss: 0.13397333025932312
Step 243/2000, Loss: 0.1406063288450241
Step 244/2000, Loss: 0.14475300908088684
Step 245/2000, Loss: 0.14190825819969177
Step 246/2000, Loss: 0.14216248691082
Step 247/2000, Loss: 0.13899792730808258
Step 248/2000, Loss: 0.13944019377231598
Step 249/2000, Loss: 0.13021281361579895
Step 250/2000, Loss: 0.13932164013385773
Step 251/2000, Loss: 0.13965900242328644
Step 252/2000, Loss: 0.14140646159648895
Step 253/2000, Loss: 0.13548079133033752
Step 254/2000, Loss: 0.13747712969779968
Step 255/2000, Loss: 0.12422122806310654
Step 256/2000, Loss: 0.11527818441390991
Step 257/2000, Loss: 0.1393440216779709
Step 258/2000, Loss: 0.13808412849903107
Step 259/2000, Loss: 0.1378137469291687
Step 260/2000, Loss: 0.1315162628889084
Step 261/2000, Loss: 0.1291487216949463
Step 262/2000, Loss: 0.13942642509937286
Step 263/2000, Loss: 0.13107895851135254
Step 264/2000, Loss: 0.1384536325931549
Step 265/2000, Loss: 0.13467952609062195
Step 266/2000, Loss: 0.13340631127357483
Step 267/2000, Loss: 0.12586896121501923
Step 268/2000, Loss: 0.13879504799842834
Step 269/2000, Loss: 0.128078430891037
Step 270/2000, Loss: 0.14043763279914856
Step 271/2000, Loss: 0.13299742341041565
Step 272/2000, Loss: 0.12920936942100525
Step 273/2000, Loss: 0.1294720321893692
